epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.428,1.50855,2.42243,1.40838,0.99509,0.11841,0.37773,0.21519,1.33187,2.44134,1.4872,0.000468891,0.000468891,0.000468891
2,136.701,1.33708,1.3663,1.22106,0.92901,0.48441,0.56422,0.33969,1.33123,1.35771,1.40999,0.000933527,0.000933527,0.000933527
3,198.272,1.29924,1.19369,1.21741,0.81977,0.43323,0.47773,0.28656,1.43078,1.39148,1.50837,0.00138637,0.00138637,0.00138637
4,262.142,1.28055,1.08535,1.21233,0.70007,0.68579,0.65243,0.43955,1.20083,0.9031,1.33218,0.00137595,0.00137595,0.00137595
5,323.521,1.2504,0.96194,1.19973,0.95327,0.53692,0.64194,0.37339,1.38716,0.8352,1.5342,0.00135826,0.00135826,0.00135826
6,385.697,1.23675,0.90398,1.18946,0.67608,0.57451,0.59077,0.37725,1.20864,1.1229,1.33264,0.00134058,0.00134058,0.00134058
7,448.855,1.22621,0.86945,1.18009,0.53233,0.487,0.54071,0.33159,1.29744,0.97982,1.38932,0.0013229,0.0013229,0.0013229
8,511.082,1.21161,0.82449,1.17187,0.91054,0.6221,0.74902,0.5079,1.09434,0.61261,1.24394,0.00130521,0.00130521,0.00130521
9,573.618,1.20285,0.80593,1.16501,0.95125,0.66831,0.74133,0.4936,1.23347,0.63084,1.37824,0.00128753,0.00128753,0.00128753
10,634.76,1.1802,0.77398,1.16033,0.89788,0.5188,0.6134,0.39166,1.32507,0.86389,1.39043,0.00126985,0.00126985,0.00126985
11,698.345,1.18114,0.77507,1.16256,0.76867,0.60689,0.68158,0.46459,1.08193,0.6119,1.25281,0.00125216,0.00125216,0.00125216
12,759.631,1.16756,0.75255,1.13716,0.73076,0.71259,0.69739,0.47063,1.12912,0.60144,1.2785,0.00123448,0.00123448,0.00123448
13,820.944,1.17031,0.74384,1.1497,0.75146,0.7157,0.7333,0.49695,1.13907,0.58204,1.2675,0.00121679,0.00121679,0.00121679
14,884.972,1.13131,0.7163,1.12759,0.86563,0.70856,0.72673,0.50287,1.10881,0.58807,1.28254,0.00119911,0.00119911,0.00119911
15,945.402,1.15715,0.71991,1.13024,0.75592,0.63963,0.72073,0.48223,1.11908,0.57767,1.29823,0.00118143,0.00118143,0.00118143
16,1008.46,1.14037,0.69699,1.14971,0.88447,0.69932,0.73339,0.52011,1.02552,0.60597,1.19667,0.00116374,0.00116374,0.00116374
17,1068.67,1.13209,0.69338,1.12304,0.87037,0.69308,0.72458,0.49114,1.0748,0.58222,1.24163,0.00114606,0.00114606,0.00114606
18,1132.8,1.1331,0.69018,1.12995,0.92456,0.67968,0.75747,0.53289,1.02036,0.50073,1.19605,0.00112837,0.00112837,0.00112837
19,1193.03,1.10664,0.67823,1.11242,0.9016,0.7722,0.80572,0.56287,1.0948,0.54131,1.24321,0.00111069,0.00111069,0.00111069
20,1256.69,1.11648,0.6678,1.11758,0.76634,0.73707,0.75723,0.52118,1.01126,0.50322,1.17858,0.00109301,0.00109301,0.00109301
21,1317.22,1.11491,0.66048,1.12794,0.77616,0.70669,0.71461,0.52138,1.02272,0.56495,1.20506,0.00107532,0.00107532,0.00107532
22,1378.43,1.09258,0.66044,1.10292,0.87283,0.64994,0.7361,0.50055,1.06687,0.50654,1.24519,0.00105764,0.00105764,0.00105764
23,1442,1.10502,0.64843,1.10202,0.73205,0.72393,0.75461,0.52624,1.05728,0.46962,1.2061,0.00103995,0.00103995,0.00103995
24,1503.77,1.0936,0.64057,1.10134,0.88988,0.71292,0.78361,0.55132,1.05672,0.47566,1.22099,0.00102227,0.00102227,0.00102227
25,1567.28,1.07362,0.62726,1.10568,0.76358,0.73009,0.70768,0.49008,1.07445,0.5025,1.21818,0.00100459,0.00100459,0.00100459
26,1629.37,1.08166,0.6423,1.08765,0.78749,0.70665,0.75247,0.50824,1.11267,0.52335,1.2609,0.000986903,0.000986903,0.000986903
27,1692.51,1.07955,0.62876,1.10355,0.85752,0.73621,0.78198,0.53897,1.02898,0.47217,1.218,0.000969219,0.000969219,0.000969219
28,1754.11,1.04945,0.61348,1.08942,0.79409,0.72085,0.76804,0.5362,1.04121,0.4663,1.20696,0.000951535,0.000951535,0.000951535
29,1817.56,1.06357,0.60626,1.08236,0.82926,0.71865,0.75477,0.52714,1.0174,0.44729,1.18466,0.000933851,0.000933851,0.000933851
30,1877.51,1.06483,0.60744,1.09334,0.91303,0.70481,0.78573,0.5432,1.02608,0.46651,1.19376,0.000916168,0.000916168,0.000916168
31,1941.18,1.05767,0.60442,1.09259,0.81678,0.71647,0.72732,0.4903,1.14671,0.5229,1.29187,0.000898484,0.000898484,0.000898484
32,2001.39,1.04998,0.59748,1.08073,0.69768,0.7994,0.7183,0.4944,1.07412,0.47789,1.24198,0.0008808,0.0008808,0.0008808
33,2062.61,1.07575,0.60828,1.08942,0.79109,0.74508,0.74842,0.52814,1.03645,0.45274,1.19497,0.000863116,0.000863116,0.000863116
34,2125.05,1.03764,0.57379,1.07681,0.92037,0.71098,0.7711,0.5414,1.07306,0.48842,1.23705,0.000845432,0.000845432,0.000845432
35,2185.53,1.04851,0.5835,1.06963,0.942,0.73411,0.81328,0.5881,1.066,0.43618,1.21153,0.000827748,0.000827748,0.000827748
36,2248.02,1.03102,0.57831,1.07321,0.80212,0.7972,0.81103,0.55741,1.04197,0.45565,1.21008,0.000810064,0.000810064,0.000810064
37,2306.71,1.03395,0.57752,1.07479,0.85858,0.73288,0.7856,0.56915,1.00037,0.419,1.17949,0.00079238,0.00079238,0.00079238
38,2368.27,1.00459,0.56327,1.07278,0.79727,0.69463,0.76758,0.55083,1.01327,0.41834,1.17837,0.000774697,0.000774697,0.000774697
39,2430.07,1.02431,0.56775,1.07137,0.72176,0.7473,0.74898,0.52733,1.07352,0.45579,1.22591,0.000757013,0.000757013,0.000757013
40,2490.23,1.02438,0.56012,1.07337,0.93774,0.76772,0.8211,0.58089,1.02668,0.41718,1.18464,0.000739329,0.000739329,0.000739329
41,2553.98,1.00418,0.55414,1.06493,0.8789,0.70485,0.78898,0.56329,1.03208,0.43032,1.19218,0.000721645,0.000721645,0.000721645
42,2614.27,1.00912,0.5599,1.05974,0.87953,0.78188,0.78021,0.55682,1.02142,0.4374,1.2033,0.000703961,0.000703961,0.000703961
43,2675.48,1.00497,0.54388,1.04964,0.93379,0.6996,0.80505,0.57343,0.98269,0.41871,1.14703,0.000686277,0.000686277,0.000686277
44,2736.57,1.00613,0.54726,1.06091,0.74844,0.74663,0.72833,0.51855,1.02512,0.43889,1.19798,0.000668593,0.000668593,0.000668593
45,2796.45,0.9995,0.54425,1.053,0.92331,0.78393,0.82067,0.58982,0.98898,0.40544,1.16083,0.000650909,0.000650909,0.000650909
46,2858.58,0.99721,0.54278,1.05284,0.87989,0.78001,0.78473,0.56676,1.03038,0.4133,1.1845,0.000633226,0.000633226,0.000633226
47,2919.35,0.98012,0.53372,1.04812,0.91756,0.70658,0.80548,0.5609,1.04961,0.40931,1.18302,0.000615542,0.000615542,0.000615542
48,2982.63,0.97747,0.52938,1.04479,0.78549,0.80815,0.80929,0.58513,0.99136,0.3963,1.14635,0.000597858,0.000597858,0.000597858
49,3042.32,0.98383,0.52924,1.0482,0.86945,0.80177,0.83967,0.60165,0.97466,0.38989,1.14888,0.000580174,0.000580174,0.000580174
50,3104.04,0.97475,0.52613,1.03833,0.85741,0.70769,0.775,0.57004,0.9679,0.40408,1.14903,0.00056249,0.00056249,0.00056249
51,3167.47,0.96987,0.52933,1.03702,0.95707,0.72117,0.82842,0.5852,0.99691,0.39629,1.17574,0.000544806,0.000544806,0.000544806
52,3227.39,0.96924,0.52116,1.04132,0.82337,0.795,0.80885,0.57999,1.01196,0.39064,1.17282,0.000527122,0.000527122,0.000527122
53,3290.16,0.94824,0.50812,1.03886,0.95861,0.77528,0.82399,0.59614,1.03009,0.41186,1.18899,0.000509438,0.000509438,0.000509438
54,3351.01,0.95561,0.51526,1.0304,0.83121,0.72613,0.79023,0.56165,0.99308,0.40642,1.16266,0.000491755,0.000491755,0.000491755
55,3412.16,0.9717,0.51454,1.03586,0.81024,0.80159,0.78239,0.57268,0.99318,0.39456,1.16411,0.000474071,0.000474071,0.000474071
56,3473.76,0.94376,0.50173,1.0342,0.84674,0.70956,0.78907,0.58175,0.9971,0.39403,1.16882,0.000456387,0.000456387,0.000456387
57,3533.53,0.94297,0.50324,1.02938,0.77191,0.7493,0.77009,0.56507,0.98884,0.39157,1.16205,0.000438703,0.000438703,0.000438703
58,3594.62,0.96087,0.50465,1.03889,0.81693,0.73408,0.78514,0.55963,0.99727,0.39194,1.16167,0.000421019,0.000421019,0.000421019
59,3656.03,0.94077,0.5038,1.02825,0.96239,0.77234,0.82655,0.58421,1.0069,0.39344,1.16837,0.000403335,0.000403335,0.000403335
